title,brand,Category,Sub_Category,Column1,Column2,description
TS Series 5-Ton 10 ft. 2-Speed Electric Chain Hoist 3-Phase Lift,Jet,,,,,"Jet TS Series electric hoist is designed and built for safety, durability, and efficient operation in the toughest industrial applications. Designed with 2-speeds you can move materials quickly and safely. Allowing your material to then slow down to be placed exactly where you need it without the excessive bump firing. Additionally, a 2-in-1 mechanical brake and overload protection assures you of safety first on the jobsite. This new system will brake quickly while providing protection from overloading the hoist. We engineered this hoist to keep the operator safe and prolong the life of your tool. Lastly a patented gear limit switch will allow precise control of the stopping point in both directions. This feature will prolong the life of the hoist and help avoid possible damage to the unit. All of this with safe lifting speeds up to 33 ft. per minute and as low as 3 ft. per minute to give you the ability to be more efficient with every load. The TS series is available from 1/2-ton to 5-ton capacities. Let's Get to Work."
Z148 Commercial 48 in. 23 HP Kawasaki V-Twin FR691v Series Engine Dual Hydrostatic Gas Zero Turn Lawn Mower,DEWALT,,,,,"The new DEWALT Z148 48 in. commercial zero-turn mower is made for the toughest landscaping jobs. Every component of this heavy-duty workhorse is designed with efficiency, performance, and comfort in mind. A durable 1.5 in. x 3 in. tubular steel frame provides maximum strength and rigidity with easy access points for routine maintenance. State-of-the-art wheel and caster design provides a more professional cut, optimizes trim capabilities, and maintains a smooth ride at higher speeds, while a 48 in. cutting deck gets the job done fast. Operators will stay protected over long hours with top-of-the-line ergonomic and customizable comfort features like an automotive-inspired, fully adjustable, padded high-back seat, a dial-in adjustable lap bar, and a wide foot pan. Extremely durable and backed by an industry-leading warranty, this mower is crafted to stand up to the rigors of daily professional use. Built to tackle 4 or more acres without breaking a sweat."
"20,000-Watt Automatic Air Cooled Standby Generator with 200 Amp Whole House Transfer Switch",Briggs & Stratton,,,,,"Reliable backup power is critical for any home, the 20kW standby generator will power all of a home's electrical needs easily and automatically during a unitlity outage. Keep your family safe, comfortable, and free from the stress by being prepared with whole home backup power solution. Enabled with Amplify Power Management technology this back up power system will provide the right sized solution for your home."
"40 in. 4.0 cu. ft. Double Oven Dual Fuel Italian Range with True Convection, 5 Burners, Griddle, Brass Trim in Burgundy",Hallman,,,,,"Hallman professional ranges marry elegant design with impeccable cooking performance. Italian brass burners provide a perfect blend of power and precision, ranging from a searing 15,500 BTU, down to simmering 1260 BTU. The removable stainless-steel griddle features an oversized brass oval burner with 10,500 BTU. Heavy-duty cast-iron grates provide a continuous cooking surface, making it safe to maneuver cookware from one burner to another. Main oven 2.55 cu. Ft. true European convection provides even heat distribution for perfect results, complete with convection bake, convection broil, grill baking, and standard bake functions. Secondary oven 1.45 cu. Ft. is convenient for baking multiple dishes simultaneously. Second oven includes electric rotisserie hardware. Both ovens feature 3-pane glass windows for safety that can easily be removed for cleaning with mild soapÂ (not dishwasher safe). Beneath the pair of ovens there is a drawer designed to keep dishes warm between 125Â°-200Â° before serving. Manual controls and durable components minimize service repairs over the lifespan of the product. Hallman ranges are available in an array of colors and configurations with unique options and accessories, allowing the ability to customize to suit your taste. Hallman is the premium brand engineered for those who are passionate about cooking with the finest quality. Decades of proven craftsmanship ensure every Hallman range will be in service and style for generations. Handmade in Italy."
"Hayden Black Interior 60in Diameter, Fits Height 127.5in - 142.5in, 1 42in Tall Platform Rail Spiral Staircase Kit",Mylen STAIRS,,,,,"Mylen's 60in diameter Hayden spiral stairs create space and flexibility for your home design. With a small footprint and Mylen's safety standards, the benefits of a spiral staircase are endless. The Hayden collection is offered in powder coated white, gray or black colors with matching aluminum handrails and personalization options to meet your technical and design needs. The horizontal, stainless steel line rail infills and stainless steel fittings add a unique look for all design tastes. All staircase kits include everything you need to complete your installation in one box (except tools) and typically can be installed in 1 day. All Hayden kits include one platform rail standard for corner or loft mount installations. American made for American specifications, backed with a lifetime warranty on all fabricated metal components, 5 years on any finished components and American customer support, you can easily find an option to meet your vision. Mylen's 60in diameter spiral staircases have 26in of clear walking path. Please review technical data sheet for additional information on measurements. This spiral staircase does meet minimum 2015 IRC requirements."
45.75 in. Walk-In Whirlpool Bathtub in White with 1.28 GPF Single Flush Toilet,Universal Tubs,,,,,"Walk-in bathtubs from Universal Tubs provide a safe and independent bathing experience. Using the latest in tub crafting techniques and industrial grade materials Universal Tubs offers an impressive line to meet your specific needs. With ADA compliant designs and features Universal Tubs delivers the satisfaction and peace of mind needed to truly enjoy a luxurious soak and a vibrant, soothing experience. Universal Tubs is now offering an unbelievable bathtub and toilet duo set. Featuring the elegant two-piece body design of the ANZZI Author powerful 1.28 GPF single action flush and forget toilet. With feather soft closing lid, long lasting vitreous china construction and ADA compliant measures."
Timeless Home 48 in. L x 48 in. W x 48 in. H 21-Light Burnished Brass Transitional Chandelier with Clear Crystal,Unbranded,,,,,"When you want dramatic, modern lighting for your home - but aren't sure about the shape of the fixture - look into the Timeless Home collection. Featuring a variety of rectangular, round, and radiating starburst styles, these fixtures include metal rods with crystal balls attached at the ends, interspersed with clear glass rods, all of which blend to create impressive visual effects. 1-year limited warranty, bulb are not included and must be purchased separately."
Commercial Light Duty 120 Gal. 480 Volt 12 kW Multi Phase Field Convertible Electric Tank Water Heater,Rheem,,,,,"Rheems light-duty commercial electric water heaters with Terminal Block are field convertible to meet any light duty hot water application need. Easily convert standard models from simultaneous to non-simultaneous and single phase to 3 phase. Models range from 30 through 120 Gal. They are available in 3kW through 12kW and in 208, 240, 277 and 480-Volt. Short models are available. All models shipped in simultaneous configuration."
64.5 in. x 81.75 in. Aveline Left-Hand Inswing 3-Lite Frosted Painted Fiberglass Smooth Prehung Front Door w/ Sidelites,MMI Door,,,,,"MMI Door Fiberglass Front Doors are built to last and can add substantial curb appeal to your home. This fiberglass smooth front door unit comes with our MSystem2 warranty on the door component and the base prehung system as well as a 10-year warranty on the glass lite. All of our fiberglass smooth front doors are virtually maintenance free and will not warp, rot, dent or split. Our prehung door unit (called the MSystem) seals out the weather and practically eliminates air and water infiltration all together. Common door size is 60 in. x 80 in. Unit dimension is 64.5 in. x 81.75 in. The suggested rough opening is 65 in. x 82.25 in. This unit comes with a 6-9/16 in. wide primed composite frame."
Legacy 9-Piece Patio Outdoor Dining Set with 8 Swivel Rockers,Cambridge,,,,,"With sling-back seating for 8 guests, Legacy 9-Piece Dining Set by Cambridge Outdoor offers comfortable, low-maintenance style. The set includes 1 extra-large dining table and eight 360Â° swivel rockers, allowing maximum comfort for your friends and family. When paired with the elegant cast aluminum details, the contoured chair backs and arm rests serve not only the function of supportive comfort, but also the luxury of elegance. The 42 in. x 84 in. rectangular table has an open-lattice top that is framed by scrolling accents that mimic the design of the chairs. The Oil-Rubbed Bronze finish complements any decor while the rust-free aluminum frames will endure the elements for years of enjoyment and entertainment."
